"Time [h]","Measurement [mg/l]","Error [ng/ml]"
-0.25,0,0
1,0.1086227,147.3093
3,2.363533,1762.694
5,4.204667,2860.127
6,4.880667,2758.505
8,3.648667,1553.065
12,2.203533,875.7194
30,1.0142,427.3861
47.75,1.239857,433.626
71.75,1.121357,372.051
95.75,1.342714,426.4323
119.75,1.386357,478.0894
143.75,1.469429,551.7912
167.75,1.600321,667.3519
