"Time [h]","Measurement [ng/ml]","Error [ng/ml]"
-0.25,0,0
1,122.1953,149.3659
3,1452.66,1003.166
5,2158.333,913.3938
6,2277.2,963.5681
8,1785.267,836.8955
12,1063.533,452.4235
30,502.2667,243.818
47.75,647.8,254.3685
71.75,638.2,262.2908
95.75,626.3334,197.2962
119.75,666,197.2066
143.75,672.2667,213.5608
167.75,760.6667,241.7115
